osmid,safety_tag_value,is_lit,polyline6
4257258,4,0,gdfgj~rIq}~{myw]iijZooqcO
4257258,1,0,qnqbk~rIanq`~yw]hijZnoqcO
1516695879,4,0,qnqbk~rIanq`~yw]xdlsd@_qak@
1516695879,4,0,qnqbk~rIanq`~yw]}w}|wB`ra~C
4257258,4,0,qnqbk~rIanq`~yw]w{ec@_preTsusgwBzjwrBly{Mdw|pU
"3996992,1156247971,1156247972,1374437296",1,0,{f{}vttIq_{damw]gfjvGa}{{Us~ia@ipu~Aaxu~Evl`eA{am}Ev}raAw}cf@_{x{BsdddBs{r_I
3996992,1,0,{f{}vttIq_{damw]whtqFllayHsklKdnwdLxwv{[v~ncjAf|~gTdy~xqAptlsUfgzgoA`pgpTlgjbr@v}`~OlohzW|bkrWfib|PpvdmW`eknJxpgnEb_a|J
3996993,1,0,{f{}vttIq_{damw]nshmKw}e~Avw|oTwhmaG`_z~O}xcqBfhwyL~~bnFr`erhA~fbyw@
"1430671527,1156247972,1374437293,1374437295",1,0,an`bsutIa{fvdnw]qp{jBoq_xIy`sVaoxiAtyyfKia`lBhmg`CykqaBb{lmAaji}AdmlTwmjlDlj~BolanBsauo@ayy|BsdwzT}}pdi@is_fZer`mc@{e_cFykzmE
"1374437296,1156247971,1156247972,3996992",1,0,an`bsutIa{fvdnw]rdddBr{r_Iv}cf@~zx{Bzam}Ew}raA`xu~Ewl`eAr~ia@hpu~AffjvG`}{{U
"4082714,1374437291",1,0,an`bsutIa{fvdnw]utgdG`cxwAcgg}OrpxoDch_hMhpv}D{kbgRn~xrJgplyNjdc`KyytyOlcc~Mqdz~Ot_pcO
3996992,1,0,otsaxotImwnufaw]ypgnEc_a|JqvdmWaeknJ}bkrWgib|Pw}`~OmohzWapgpTmgjbr@qtlsUggzgoAg|~gTey~xqAywv{[w~ncjArklKenwdLvhtqFmlayH
3996993,1,0,unzplptI_zmookw]hsddn@zw|ma@
3996993,1,0,unzplptI_zmookw]s`erhA_gbyw@ghwyL__cnFa_z~O|xcqBww|oTvhmaGoshmKv}e~A
129375499,1,0,unzplptI_zmookw]gpkiQts|aLq}jrIn_wrB
1067521922,1,0,unzplptI_zmookw]aepQvp`qTm}q~@|o`e_@gbjjGry_lN
8172560,4,0,mvclxtsIery|hrw]r}|hW~t|bkE
4082778,1,0,mvclxtsIery|hrw]tfuzd@ijktJvui_l@gidiNt~{fd@_uhcN
4082778,1,0,mvclxtsIery|hrw]_~zms@|pkaDijrjr@tyizDuc|wq@`aa~Fug}em@h_ksR}xg}n@h{n_c@e`}zu@l_nrm@stae|@tar|gAi_ow}@nopgjAezhbj@xz`yt@gjmlIbqf~Nurrz@n|pdT`vTdhila@
8179366,1,0,mvclxtsIery|hrw]o~|xIeatlpBdsdzIkuu}R
8172560,1,0,yweb`tsIe|{x|kw]s}|hW_u|bkE
26789932,1,0,yweb`tsIe|{x|kw]bs~_fHwddxyA
26789932,1,0,yweb`tsIe|{x|kw]qbxjlMfufijC{rtkVr{aoO_rhoUtiexa@
4082778,1,0,ixeh`qsIw}t`ssw]znl_pAiz|yc@|v_g~@ukntTvsvcq@_|rqLhejrKedorA
4082778,1,0,ixeh`qsIw}t`ssw]u~{fd@~thcNwui_l@fidiNufuzd@hjktJ
9709379,1,0,ixeh`qsIw}t`ssw]ejosd@ghtl^{iw~h@}hpxa@krlmg@yxh`X
9709379,1,0,ixeh`qsIw}t`ssw]fgysyCbw}csBjkdqk@tbthf@
4082778,1,0,gb~j{ctIs~je~ew]k}}t@xp|kO
4082778,1,0,gb~j{ctIs~je~ew]avTehila@trrz@o|pdTfjmlIcqf~Ndzhbj@yz`yt@h_ow}@oopgjArtae|@uar|gAd`}zu@m_nrm@|xg}n@i{n_c@tg}em@i_ksRtc|wq@aaa~Fhjrjr@uyizD~}zms@}pkaD
26789932,1,0,gb~j{ctIs~je~ew]~qhoUuiexa@zrtkVs{aoOpbxjlMgufijC
8179366,1,0,wa|jxtsIwjeinvw]esdzIjuu}Rn~|xIdatlpB
9709379,1,0,wa|jxtsIwjeinvw]wdyaPafeb^ediyDmqijN
9709379,1,0,wa|jxtsIwjeinvw]jrlmg@xxh`Xziw~h@|hpxa@djosd@fhtl^
1333187559,4,0,ux|umwtIajn}yrw]~zxbb@ue}yKxrceFu`esA~`elGqi{`Bdyeh|@aqj{P
82120348,4,0,ulqu}stIaozj~sw]fafxHjp`jb@
771096822,4,0,ulqu}stIaozj~sw]noqvf@ofieLd|{eX_ulnF
1333187559,1,1,ulqu}stIaozj~sw]eyeh|@`qj{P_aelGpi{`ByrceFt`esA_{xbb@te}yK
