osmid,safety_tag_value,is_lit
4257258,3,0
4257258,1,0
1516695879,4,0
4257258,4,0
"3996992,1156247971,1156247972,1374437296",1,0
3996992,1,0
3996993,1,0
"1430671527,1156247972,1374437293,1374437295",1,0
"1374437296,1156247971,1156247972,3996992",1,0
"4082714,1374437291",1,0
129375499,1,0
1067521922,1,0
8172560,4,0
4082778,1,0
8179366,1,0
8172560,1,0
26789932,1,0
9709379,1,0
1333187559,4,0
82120348,4,0
771096822,4,0
1333187559,1,1
1046204394,4,0
1067121885,4,0
1046204394,1,0
698328262,4,0
1067121885,1,0
"782768363,698328262",4,1
"539938096,1073888002,1067121884",4,0
4210579,5,1
"131013081,131013077",6,0
"691246480,154540866",5,0
4210579,4,1
107271943,3,0
4210579,1,1
110521968,5,0
131013077,5,0
"131013081,131013077",1,0
154540866,1,1
"691246480,154540866",1,0
"1056950194,1056950195",1,1
4276799,2,1
657654911,3,1
657654911,1,1
4276799,1,0
553533326,1,1
657654911,1,0
970136994,3,0
29155571,1,0
1465149990,1,0
"1171507736,657654911",1,1
657654911,3,0
754767528,4,1
29156029,3,0
23281567,3,1
"29217600,523400976",3,1
754767528,3,1
754767528,1,1
8370285,3,1
1465149985,3,1
200082635,3,0
8370285,1,1
28334550,3,1
1456247625,3,0
28334549,3,1
"1465149985,200082625",3,1
1465149985,1,1
684277780,6,1
24454941,4,1
1465149998,6,0
684277780,1,1
684277780,6,0
29217355,6,0
23294420,3,1
24454941,1,1
"128847849,128847850",3,1
"1046350856,1046350854,1046350855",6,0
"570239729,1046350854",6,0
1465149998,1,0
684277779,6,0
"29077144,970197145,970197146",5,1
684277779,1,0
"1536128505,1536128506,100294073",6,0
5043295,6,1
684277778,1,1
67602209,5,1
"29077144,970197145,970197146",1,1
5043295,5,0
4255581,1,1
5043295,1,1
5043295,1,0
27784675,5,0
4255582,1,1
956043073,1,1
46102058,1,1
157000735,3,1
1465149996,2,1
4255594,1,1
"956043073,1089300434,1089300435",5,1
46102058,3,0
4255540,1,1
129325871,3,0
157000735,1,0
129317513,1,0
1465149996,1,1
1059988395,1,0
"1416351241,1314166041",4,1
"1416351240,1416351241",1,1
"1059988404,299392143",2,0
"1391460031,1089189873,299392143",3,0
"1059988404,299392143",1,0
"816227969,816227971",2,0
"816227969,1336943514",2,0
4257259,2,0
4257259,1,0
1516695879,2,0
1516695879,1,0
2631259,2,0
"1006868256,954782756,975124070,975124074,954648754",4,1
"954648754,975124076,827537933",1,0
2631259,1,0
1515720987,2,0
"1515720987,1515720989",2,0
"954782754,1374513414,827537935",5,0
"1006868256,954782756,975124070,975124074,954648754",1,1
"1131416608,1131416609",4,0
